Unique_Investment_Identifier,Business_Case_ID,Agency_Name,Investment_Title,Project_ID,Project_Name,Project_Description,Start_Date,Completion_Date_(B1),Planned_Project_Completion_Date_(B2),Projected/Actual_Project_Completion_Date_(B2),Lifecycle_Cost,Schedule_Variance_(in_days),Schedule_Variance_percentage,Cost_Variance_($M),Cost_Variance_percentage,Planned_Cost_($M),Projected/Actual_Cost_($M),Updated_Date,Updated_Time
005-000001723,212,Department of Agriculture(5),AMS Infrastructure WAN and DMZ (AMSWAN),656,Operations,,,,,,,0,0,0,0,15.297,15.297,22/09/2011,10:22:25
005-000001723,212,Department of Agriculture(5),AMS Infrastructure WAN and DMZ (AMSWAN),657,Virtualization,,,,,,,-153,-84.07,0,0,0.179,0.179,30/11/2011,06:09:57
005-000001723,212,Department of Agriculture(5),AMS Infrastructure WAN and DMZ (AMSWAN),658,Refresh,,,,,,,0,0,0,0,1.46,1.46,28/10/2011,05:50:19
005-000001822,213,Department of Agriculture(5),APHIS Electronic Permits System (ePermits),661,ePermits O&M FY11 Part 1.,,,,,,,0,0,0.3641,20,1.8205,1.4564,31/05/2012,14:20:11
005-000001822,213,Department of Agriculture(5),APHIS Electronic Permits System (ePermits),662,ePermits O&M FY12 Part 1,,,,,,,0,0,0,0,1.713,1.713,31/05/2012,14:20:11
005-000001822,213,Department of Agriculture(5),APHIS Electronic Permits System (ePermits),663,ePermits O&M FY12 Part 2,,,,,,,0,0,0,0,1.45,1.45,31/05/2012,14:20:11
005-000001822,213,Department of Agriculture(5),APHIS Electronic Permits System (ePermits),664,BRS Field Reports Phase 2,,,,,,,0,0,0,0,0.01,0.01,22/09/2011,10:34:24
005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,665,Enterprise Management,,,,,,,10,2.75,0,0,46.96,46.96,22/09/2011,10:34:32
005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,666,VoIP Riverdale,,,,,,,0,0,0,0,0.662,0.662,31/05/2012,14:20:13
005-000000038,214,Department of Agriculture(5),APHIS Enterprise Infrastructure,667,Enterprise Security,,,,,,,0,0,0,0,0.572,0.572,01/08/2012,13:21:08
